,Digital 2d Art (Manga),,,,,,,,,,,,Size difference vs. Jpeg XL (-e 9 -E 3 -I 1),,,,,,,,,
exJpeg,PNG (Pingo + ECT),,WebP,WP2,FLIF,AVIF,JXL (e9 E3 I1),JXL (-e 9),JXL (-e 7),JXL (-e 3),BMF (-s),EMMA,WebP,WP2,FLIF,AVIF,PNG,Effort 9,Effort 7,Effort 3,BMF,EMMA
"1.009   NO,  this doesn't look like an ex-JPEG image.",74dko0k47dw41.png,"12,632,733","10,249,426","9,716,202","9,776,414","11,894,991","9,353,771","9,516,128","9,799,917","10,789,588","8,587,968","8,030,301",9.58%,3.87%,4.52%,27.17%,35.05%,1.74%,4.77%,15.35%,-8.19%,-14.15%
1.055   Maybe. Try better methods.,75wz2y9zj3061.png,"487,596","424,314","436,694","390,664","795,785","365,026","366,470","377,246","391,137","372,496","350,893",16.24%,19.63%,7.02%,118.01%,33.58%,0.40%,3.35%,7.15%,2.05%,-3.87%
"1.050   NO,  this doesn't look like an ex-JPEG image.",784uk3j0eax31.png,"3,601,796","2,525,876","2,390,760","2,343,537","3,778,790","1,977,192","2,075,462","2,217,142","2,731,097","1,925,280","1,656,799",27.75%,20.92%,18.53%,91.12%,82.17%,4.97%,12.14%,38.13%,-2.63%,-16.20%
"1.049   NO,  this doesn't look like an ex-JPEG image.",7cojpzqor2741.png,"481,115","443,894","530,222","382,777","1,037,628","352,768","354,747","382,504","755,461","468,228","370,500",25.83%,50.30%,8.51%,194.14%,36.38%,0.56%,8.43%,114.15%,32.73%,5.03%
"1.000   NO,  this doesn't look like an ex-JPEG image.",7kh9hikrea941.png,"3,302,641","2,175,300","2,100,220","2,245,058","2,383,874","2,058,750","2,238,905","2,303,868","2,637,421","1,938,152","1,753,718",5.66%,2.01%,9.05%,15.79%,60.42%,8.75%,11.91%,28.11%,-5.86%,-14.82%
"1.044   NO,  this doesn't look like an ex-JPEG image.",7ll2dm6ycjr41.png,"1,150,744","965,104","936,809","1,214,586","1,350,110","624,718","632,002","749,334","1,398,429","759,412","608,844",54.49%,49.96%,94.42%,116.12%,84.20%,1.17%,19.95%,123.85%,21.56%,-2.54%
"1.000   NO,  this doesn't look like an ex-JPEG image.",7of5c8rmca241.png,"2,295,682","1,606,544","1,519,527","1,176,755","2,314,954","1,164,011","1,181,079","1,280,330","1,436,719","988,940","1,046,201",38.02%,30.54%,1.09%,98.88%,97.22%,1.47%,9.99%,23.43%,-15.04%,-10.12%
1.060   Maybe. Try better methods.,7ovgj3w70wu51.png,"286,100","256,854","227,540","204,557","431,687","192,261","193,322","209,258","291,459","185,472","171,616",33.60%,18.35%,6.40%,124.53%,48.81%,0.55%,8.84%,51.60%,-3.53%,-10.74%
"1.000   NO,  this doesn't look like an ex-JPEG image.",7p9rd4564mj41.png,"74,754","72,268","67,636","58,890","226,329","52,326","52,850","65,318","80,926","54,620","51,268",38.11%,29.26%,12.54%,332.54%,42.86%,1.00%,24.83%,54.66%,4.38%,-2.02%
"1.000   NO,  this doesn't look like an ex-JPEG image.",7unlrxdm1j041.png,"311,403","241,292","232,063","225,284","271,808","202,658","204,209","206,016","214,465","184,888","191,901",19.06%,14.51%,11.16%,34.12%,53.66%,0.77%,1.66%,5.83%,-8.77%,-5.31%
"1.000   NO,  this doesn't look like an ex-JPEG image.",7x2mzmr21ny51.png,"994,815","657,962","643,245","560,162","1,346,528","541,642","543,865","561,308","577,716","489,408","491,722",21.48%,18.76%,3.42%,148.60%,83.67%,0.41%,3.63%,6.66%,-9.64%,-9.22%
"1.000   NO,  this doesn't look like an ex-JPEG image.",7xh362umihw51.png,"4,229,464","3,109,646","2,894,338","2,766,664","4,283,510","2,534,209","2,606,870","2,700,803","3,364,775","2,531,208","2,110,082",22.71%,14.21%,9.17%,69.03%,66.89%,2.87%,6.57%,32.77%,-0.12%,-16.74%
"1.000   NO,  this doesn't look like an ex-JPEG image.",7yudiwq39oa41.png,"1,027,171","989,982","971,201","895,979","2,287,247","889,768","896,100","995,613","1,083,282","881,188","792,913",11.26%,9.15%,0.70%,157.06%,15.44%,0.71%,11.90%,21.75%,-0.96%,-10.89%
"1.000   NO,  this doesn't look like an ex-JPEG image.",815jlxknl5o51.png,"535,388","465,720","480,011","430,813","2,078,736","371,122","374,194","431,022","1,443,494","298,812","363,073",25.49%,29.34%,16.08%,460.12%,44.26%,0.83%,16.14%,288.95%,-19.48%,-2.17%
"1.000   NO,  this doesn't look like an ex-JPEG image.",84i920hkslx51.png,"492,612","452,922","437,802","338,129","1,292,324","305,461","307,621","377,453","465,553","355,628","287,274",48.27%,43.33%,10.69%,323.07%,61.27%,0.71%,23.57%,52.41%,16.42%,-5.95%
"1.000   NO,  this doesn't look like an ex-JPEG image.",8657vkdqbda41.png,"1,379,783","1,017,716","997,889","949,681","1,252,744","912,806","926,639","947,221","997,374","883,324","845,595",11.49%,9.32%,4.04%,37.24%,51.16%,1.52%,3.77%,9.26%,-3.23%,-7.36%
"1.015   NO,  this doesn't look like an ex-JPEG image.",8bt4cbigiqv51.png,"1,833,054","1,734,170","1,646,600","1,531,703","3,615,406","1,333,657","1,340,887","1,431,217","1,739,457","1,527,800","1,272,138",30.03%,23.47%,14.85%,171.09%,37.45%,0.54%,7.32%,30.43%,14.56%,-4.61%
"1.000   NO,  this doesn't look like an ex-JPEG image.",8c0vuc2vgie41.png,"594,718","453,380","442,606","419,196","665,283","282,959","287,283","314,825","494,556","402,244","282,801",60.23%,56.42%,48.15%,135.12%,110.18%,1.53%,11.26%,74.78%,42.16%,-0.06%
